x,y,vx,vy,action
9.499999999999999556e-01,9.499999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.418352246284484863e-01,9.009919762611389160e-01,-1.587653948818102886e-02,-9.873163370409826500e-02,0.000000000000000000e+00
9.339181780815124512e-01,8.499207496643066406e-01,-1.440263730596932391e-02,-9.895738496258225936e-02,0.000000000000000000e+00
9.267061352729797363e-01,7.969274520874023438e-01,-1.379307437379826209e-02,-9.904418760996967774e-02,0.000000000000000000e+00
9.189530611038208008e-01,7.424942851066589355e-01,-1.358095605413875244e-02,-9.907349611604282513e-02,0.000000000000000000e+00
9.119065403938293457e-01,6.890037655830383301e-01,-1.028305773153303550e-02,-9.946988852758387178e-02,0.000000000000000000e+00
9.080807566642761230e-01,6.381199955940246582e-01,-8.443966135434554862e-03,-9.964285943259373890e-02,0.000000000000000000e+00
9.044191241264343262e-01,5.992958545684814453e-01,9.932640763728438349e-02,-1.158726654012999513e-02,0.000000000000000000e+00
9.046751856803894043e-01,6.011364459991455078e-01,8.333078909454463834e-02,5.528091523193626872e-02,1.000000000000000000e+00
9.073520302772521973e-01,6.004211902618408203e-01,7.042354356168430141e-02,-7.099665141551082803e-02,1.000000000000000000e+00
9.078539013862609863e-01,5.984799861907958984e-01,-5.939401462698950390e-02,-8.045092309283317922e-02,1.000000000000000000e+00
8.379885554313659668e-01,5.952705740928649902e-01,-8.427644207484567829e-02,-5.382825755312149740e-02,1.000000000000000000e+00
8.371232748031616211e-01,5.936081409454345703e-01,-8.558299439550602628e-02,-5.172572928725883978e-02,1.000000000000000000e+00
7.663716673851013184e-01,5.938631892204284668e-01,-9.544487576459018130e-02,2.983748800220869038e-02,1.000000000000000000e+00
7.649157643318176270e-01,5.948643088340759277e-01,-9.558617258775890801e-02,2.938168834534816282e-02,1.000000000000000000e+00
7.011986374855041504e-01,5.944858789443969727e-01,-1.385154017645391124e-02,-9.903602796326235747e-02,1.000000000000000000e+00
7.031099200248718262e-01,5.939282774925231934e-01,8.540843563984512610e-02,-5.201345135207268572e-02,1.000000000000000000e+00
7.037613987922668457e-01,5.932437181472778320e-01,4.138326870586022527e-02,-9.103529574411549363e-02,1.000000000000000000e+00
7.040233016014099121e-01,5.904258489608764648e-01,3.557251855294877012e-03,-9.993670976792262683e-02,1.000000000000000000e+00
7.025884985923767090e-01,5.237546563148498535e-01,-9.286920882080648698e-03,-9.956783165525889823e-02,1.000000000000000000e+00
7.022381424903869629e-01,5.216439366340637207e-01,-8.755989226414632315e-03,-9.961592569798723151e-02,1.000000000000000000e+00
7.015005946159362793e-01,4.537020325660705566e-01,-3.421561416892768270e-02,-9.396431102840629990e-02,1.000000000000000000e+00
6.994520425796508789e-01,4.512076079845428467e-01,-3.345326309119269620e-02,-9.423841673410821018e-02,1.000000000000000000e+00
6.997731328010559082e-01,3.911636471748352051e-01,-9.439639773359381758e-02,-3.300484956671014686e-02,1.000000000000000000e+00
6.996638178825378418e-01,3.913023769855499268e-01,6.311549884706540992e-02,7.756567414318066289e-02,1.000000000000000000e+00
7.030071616172790527e-01,3.896348774433135986e-01,9.868452640053614056e-02,-1.616676371763643011e-02,1.000000000000000000e+00
7.045233845710754395e-01,3.898452818393707275e-01,9.967165115236503725e-02,8.097033812529833355e-03,1.000000000000000000e+00
