x,y,vx,vy,action
5.000000000000000000e-01,9.499999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.996987283229827881e-01,8.937809467315673828e-01,-1.595332790584041028e-04,-9.999987274558340411e-02,0.000000000000000000e+00
4.998198449611663818e-01,8.379198312759399414e-01,1.283236855986296646e-04,-9.999991766512467128e-02,0.000000000000000000e+00
4.998427331447601318e-01,7.804556488990783691e-01,-4.908503636022740809e-04,-9.999879532234652590e-02,0.000000000000000000e+00
4.992595613002777100e-01,7.233698368072509766e-01,-1.276339204782262794e-03,-9.999185445942253281e-02,0.000000000000000000e+00
4.984130859375000000e-01,6.680927872657775879e-01,-1.439873497375365654e-03,-9.998963328421379970e-02,0.000000000000000000e+00
4.977309703826904297e-01,6.175175905227661133e-01,-1.769923885649471798e-03,-9.998433562033108568e-02,0.000000000000000000e+00
4.971853196620941162e-01,5.926219224929809570e-01,-9.971032064823581731e-02,-7.606047345763852774e-03,0.000000000000000000e+00
4.969625473022460938e-01,5.938879251480102539e-01,-7.639749882295872319e-02,6.452458580724111659e-02,1.000000000000000000e+00
4.274286031723022461e-01,5.943104028701782227e-01,-9.824108313693825922e-02,1.867323175246283010e-02,1.000000000000000000e+00
4.251103997230529785e-01,5.952084660530090332e-01,-9.905093550161445104e-02,1.374453259499991420e-02,1.000000000000000000e+00
3.816572427749633789e-01,5.911192297935485840e-01,-1.603712511733062715e-02,9.870567672616953336e-02,1.000000000000000000e+00
3.829821944236755371e-01,5.914270877838134766e-01,7.672455801113398088e-02,-6.413534281498881051e-02,1.000000000000000000e+00
3.813248276710510254e-01,5.583264231681823730e-01,7.514257138346917830e-02,-6.598176995110270615e-02,1.000000000000000000e+00
3.819053471088409424e-01,5.584318637847900391e-01,7.735868915041599347e-02,-6.336902408061302616e-02,1.000000000000000000e+00
3.832130730152130127e-01,4.877331256866455078e-01,7.271337472374989064e-02,-6.864958220035669023e-02,1.000000000000000000e+00
3.849246501922607422e-01,4.877998828887939453e-01,7.183085260293567420e-02,-6.957247023309817702e-02,1.000000000000000000e+00
3.844892084598541260e-01,4.259822666645050049e-01,3.284396690866897561e-02,-9.445249513751480253e-02,1.000000000000000000e+00
3.853712975978851318e-01,4.248832762241363525e-01,4.472191018374258031e-02,-8.944244378099952542e-02,1.000000000000000000e+00
3.950289785861968994e-01,3.872118592262268066e-01,9.998674544562123623e-02,1.628107856544962944e-03,1.000000000000000000e+00
3.951581418514251709e-01,3.877938389778137207e-01,7.641178814832177979e-02,6.450766335851883249e-02,1.000000000000000000e+00
4.385349154472351074e-01,3.899579048156738281e-01,9.599206896818428258e-02,2.802717779597782219e-02,1.000000000000000000e+00
4.398723542690277100e-01,3.907206654548645020e-01,9.644003447755711278e-02,2.644465446867468039e-02,1.000000000000000000e+00
5.122944712638854980e-01,3.919486403465270996e-01,9.584259918369331110e-02,-2.853412311100365917e-02,1.000000000000000000e+00
5.130654573440551758e-01,3.914260566234588623e-01,9.552387343958278210e-02,-2.958360361921065496e-02,1.000000000000000000e+00
5.833929181098937988e-01,3.910756707191467285e-01,8.854815875319307916e-02,-4.646744646975252413e-02,1.000000000000000000e+00
5.843068361282348633e-01,3.897659480571746826e-01,9.399349446284346876e-02,-3.413536287581277889e-02,1.000000000000000000e+00
5.973643660545349121e-01,3.933072686195373535e-01,6.397667809425504337e-02,7.685691029454716494e-02,1.000000000000000000e+00
5.973706841468811035e-01,3.933837413787841797e-01,2.910381205101467139e-03,9.995763943411725694e-02,1.000000000000000000e+00
5.961914658546447754e-01,4.420704543590545654e-01,-2.809969063945433332e-02,9.597086738154951557e-02,1.000000000000000000e+00
5.949162840843200684e-01,4.441717267036437988e-01,-2.688595610805617764e-02,9.631793895300956587e-02,1.000000000000000000e+00
5.949937701225280762e-01,5.192535519599914551e-01,6.692849017832644409e-02,7.430058682439637241e-02,1.000000000000000000e+00
5.952705740928649902e-01,5.192828178405761719e-01,6.662224274021305570e-02,7.457530940106202322e-02,1.000000000000000000e+00
5.947919487953186035e-01,5.857922434806823730e-01,9.903268104954504603e-02,1.387544897072102296e-02,1.000000000000000000e+00
5.956493616104125977e-01,5.827087163925170898e-01,9.683431071862667883e-02,2.496229692252824317e-02,1.000000000000000000e+00
5.889888405799865723e-01,6.107292175292968750e-01,-9.977691400966381963e-02,-6.675884264136844326e-03,1.000000000000000000e+00
5.888012647628784180e-01,6.088550686836242676e-01,-7.630518501103855655e-02,-6.463372757648422340e-02,1.000000000000000000e+00
5.522845983505249023e-01,6.112501025199890137e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
